Vector Store ID: vs_688265aeb3708191ad97241a61d789e5
filename	file_id
getting-started-with-an-optisigns-free-trial--alright-ive-signed-up-for-a-free-trial-whats-the-e.md	file-USDU3un8cVZSJZ595p9Evi
getting-started-with-an-optisigns-free-trial--can-i-add-more-users-to-a-free-trial-account.md	file-QYjUPtQXmtEmcHYbfijccZ
getting-started-with-an-optisigns-free-trial--getting-started-with-an-optisigns-free-trial.md	file-RYktoh62bo4BPao2Dfr9Pw
getting-started-with-an-optisigns-free-trial--how-can-i-sign-up-for-a-more-advanced-plan.md	file-AkPxDLkNWGedrRpmf1vswA
getting-started-with-an-optisigns-free-trial--how-do-i-start-an-optisigns-free-trial.md	file-XjfFrbxfn1Rd5dKe6CSG6y
getting-started-with-an-optisigns-free-trial--in-this-article-we-take-you-through-the-features-y.md	file-3ip88NRA2vjD26iQ7znXwC
getting-started-with-an-optisigns-free-trial--what-comes-with-an-optisigns-free-trial.md	file-Qia7QEif4u3kMRDo2KPt4c
getting-started-with-an-optisigns-free-trial--what-happens-when-the-free-trial-expires.md	file-KiesdNoDsjo8zaUfZnWseQ
getting-started-with-designer--animate.md	file-8Q5Dk83ZSywLDNtrfU1aaK
getting-started-with-designer--background.md	file-Dxm5mpVFWysEEK6Kr1K2TD
getting-started-with-designer--canvas.md	file-SjnKHoHL9Gb9ggp7999oVx
getting-started-with-designer--close.md	file-JmeuvAUvE1F43Ddjz9PJ4V
getting-started-with-designer--designer-app-overview.md	file-MMNqpx6GURgyXNDNSZ1qjX
getting-started-with-designer--draw.md	file-YZ8ufTDXAUubx46pByKfyi
getting-started-with-designer--filter.md	file-Cn4tQEKRHy9dD1yeGSjZn3
getting-started-with-designer--frame.md	file-PhmwkuJcT3K2z28b9ES3V4
getting-started-with-designer--getting-started-with-designer.md	file-QKrzFub47uHYeKMwYxG7bY
getting-started-with-designer--hand-tool.md	file-5moeVmWDS4zJcPV127c7LZ
getting-started-with-designer--history.md	file-2XLbRdghbu1mgGDqSiRM3v
getting-started-with-designer--image.md	file-VM7F8YJwpAc8dKYXhNjEzy
getting-started-with-designer--in-this-article-well-cover-the-basic-functions-and.md	file-XkdDgj9S2QG8XSgeDSdpTW
getting-started-with-designer--layers.md	file-J9AZhMDoU3H3A862eyug3u
getting-started-with-designer--move-save-new-design-and-download-functions.md	file-V9Rd2UoaprPPmxHk14NAzj
getting-started-with-designer--naming-your-design.md	file-QxVZ5k18YUALf7CMFV1WQQ
getting-started-with-designer--opening-designer.md	file-9THKKqvBRGoRYs3qsGNaGj
getting-started-with-designer--preview-and-push-to-screens.md	file-PjciGHbgMAafvXeq5UKo8J
getting-started-with-designer--preview.md	file-AN4ob2kv442nzCtwjtVokr
getting-started-with-designer--push-to-screens.md	file-Enr6LkakNngPZV1yzDADsx
getting-started-with-designer--resize.md	file-9xBtQRBQn2P43oQBJfyjkU
getting-started-with-designer--shapes.md	file-XmecimdnhiV8c1mCQLNWjw
getting-started-with-designer--side-menu---additional-functions.md	file-DCUiaXQY4qehNwGLgWvJPr
getting-started-with-designer--switching-between-designer-20-and-designer-10.md	file-G9rE1p3cqesQdpLFDf3tmZ
getting-started-with-designer--text.md	file-FhzJThTVo6aCBn9ZEQJa5f
getting-started-with-designer--toolbar---positioning.md	file-BFFFmnEpRJRDMpKvrfyEXE
getting-started-with-designer--top-menu---basic-functions.md	file-5VjBKL7rDrbf12bMzdkSfp
getting-started-with-designer--undoredo.md	file-1ad4M886B6UVxjRNKaBqfx
getting-started-with-designer--zoom.md	file-Y2hMcNgYrb6BEYiserRrav
getting-started-with-touch-screen-kiosks--content-library-kiosk.md	file-GN81egxHMpSunG7burGP2C
getting-started-with-touch-screen-kiosks--each-of-these-options-is-designed-to-meet-specific.md	file-FKZ4t8bUfRDvFik6bNq1Tr
getting-started-with-touch-screen-kiosks--getting-started-with-touch-screen-kiosks.md	file-WT2xtcsBvXgvMND1UzC5ED
getting-started-with-touch-screen-kiosks--getting-your-kiosk-design-onto-a-touchscreen.md	file-XyQUawwYghce56o81FLcPu
getting-started-with-touch-screen-kiosks--kiosk-designer-pro.md	file-XXGZBPRzn76g2WZWwVzBB2
getting-started-with-touch-screen-kiosks--kiosk-lite.md	file-9YA3Gazt93CfgtG7rE7wna
getting-started-with-touch-screen-kiosks--option-1-through-engage.md	file-Nfm9pAFj7vE8JrghX2bxcT
getting-started-with-touch-screen-kiosks--option-2-through-designer.md	file-WXaBDeZxGvcJ8b6sFcRYSY
getting-started-with-touch-screen-kiosks--option-3-directly-assigning-content-to-a-screen.md	file-F9npXDDHmCSk3ggFRBsrDH
getting-started-with-touch-screen-kiosks--thats-it.md	file-MW5cNwXBwaxu5ELWeycfkh
getting-started-with-touch-screen-kiosks--the-ability-to-turn-your-screens-into-engaging-int.md	file-AwaQwjSh73BuSnDErUcpcq
getting-started-with-touch-screen-kiosks--types-of-touch-screen-kiosks.md	file-H1rcum8jdQU42tn5nVz26Q
guide-for-creating-content-with-optisigns--api-integration.md	file-TRvoWa8RuMQL1iT72bG1we
guide-for-creating-content-with-optisigns--canva.md	file-FVJi75crAXzuq14h3auvKP
guide-for-creating-content-with-optisigns--displaying-dashboards-power-bi-reports-and-more.md	file-9Mov21sYFw7m87w5Rp6LRZ
guide-for-creating-content-with-optisigns--engage-kiosk-assets.md	file-7ReSeESPAjhAwbfWvhK97J
guide-for-creating-content-with-optisigns--feeds-curated-content-for-any-environment.md	file-KfsAhgBB5n9bkFfGLNHDc2
guide-for-creating-content-with-optisigns--google-drive-and-onedrive-synchronization.md	file-WPZoEihXj3zys2Skn7x9qg
guide-for-creating-content-with-optisigns--guide-for-creating-content-with-optisigns.md	file-FUmyQkvikYhkie649tJg32
guide-for-creating-content-with-optisigns--now-go-explore-the-many-different-ways-to-bring-yo.md	file-Bd2CXbDajcvKYQvqytvoJN
guide-for-creating-content-with-optisigns--popular-apps-and-integrations.md	file-7kv6LapHCjepBf6T7gmssp
guide-for-creating-content-with-optisigns--ready-made-templates.md	file-LJ8yUkQZYRLJs4Qw3yaeb7
guide-for-creating-content-with-optisigns--supported-file-and-media-formats.md	file-NwCdP6HiDGynwH14Pr5Hrd
guide-for-creating-content-with-optisigns--thats-it.md	file-6DdMp1Zm4pvPxJiiQ2Lb4g
guide-for-creating-content-with-optisigns--there-are-many-ways-to-get-your-content-into-optis.md	file-SujSQKcTNGij3wBkLLwrVV
handle-oauth-authentication-using-api-gateway-pre-request-configuration--handle-oauth-authentication-using-api-gateway-pre-.md	file-Yb8MMBKUD6vFjYr3TAMr9Z
handle-oauth-authentication-using-api-gateway-pre-request-configuration--in-this-article-we-will-explain-how-to-set-up-a-pr.md	file-7KijGJfhXW8pZJBW6gMXmL
how-to-access-the-troubleshooting-page-of-the-optisigns-player--how-to-access-the-troubleshooting-page-of-the-opti.md	file-9o9TB2oSQPRTw9nb99NgGU
how-to-access-the-troubleshooting-page-of-the-optisigns-player--how-to-access-the-troubleshooting-page.md	file-HNnKwxVywE1uhBZ3HSN85P
how-to-create-custom-news-feeds-with-optisync--adding-text-elements-to-a-digital-menu-board.md	file-CMYoh1Woq6nfWu2mXUVcgC
how-to-create-custom-news-feeds-with-optisync--applying-filters-to-customize-which-news-stories-t.md	file-7ME8v2kCMhGSacctortSSr
how-to-create-custom-news-feeds-with-optisync--bulletin-feed.md	file-GzRjaXBQmfg29oYPmk4Ddr
how-to-create-custom-news-feeds-with-optisync--choosing-the-correct-url-endpoint-for-sharepoint-c.md	file-2KcKihNmz8si7Cqxo3U7Ff
how-to-create-custom-news-feeds-with-optisync--element-mapping.md	file-A34mVi8Pm6nH1rXdw9mrQd
how-to-create-custom-news-feeds-with-optisync--how-to-create-custom-news-feeds-with-optisync.md	file-5LXwBBDmPtdgLUwtCg1odq
how-to-create-custom-news-feeds-with-optisync--how-to-set-up-a-custom-news-feed.md	file-B3NENiHJ5vF1PBKAQFdFCr
how-to-create-custom-news-feeds-with-optisync--in-this-article-we-will-cover-optisigns-ability-to.md	file-V8JqYSvZCjTMwrFTcMdWMU
how-to-create-custom-news-feeds-with-optisync--sharepoint-api-authentication-using-oauth-20-in-mi.md	file-Xx4JcWxQcRRofjKkvV3T2m
how-to-create-custom-news-feeds-with-optisync--sharepoint-news-examples.md	file-WgtGnn3LwLQcxd3aCLMJk2
how-to-create-custom-news-feeds-with-optisync--single-story-feed.md	file-RUEBFx9GhMo8SkyMqrKs1S
how-to-create-custom-news-feeds-with-optisync--step-1-setting-up-a-custom-api-gateway-sharepoint-.md	file-UvL3WwwwESmSzTQfrxZ2CL
how-to-create-custom-news-feeds-with-optisync--step-2-mapping-the-api-to-a-datasource.md	file-To5KdNzNdQHYJixf3ruc6H
how-to-create-custom-news-feeds-with-optisync--step-3-creating-a-news-feed-using-designer-in-opti.md	file-Atkj5o8PJGmUnNf6jNv6nL
how-to-display-dynamic-event-schedules-using-optisync--creating-a-calendar-style-monthly-event-schedule.md	file-R6KGVbD33BbhdVbbexMEfo
how-to-display-dynamic-event-schedules-using-optisync--daily.md	file-B4ZzAStnHU8gXSVsY51Fca
how-to-display-dynamic-event-schedules-using-optisync--examples-of-some-event-schedules-made-with-optisyn.md	file-7GV2k7ChDVUEFYWVZ9AMef
how-to-display-dynamic-event-schedules-using-optisync--how-to-display-dynamic-event-schedules-using-optis.md	file-9r97wt7iwp5MFnQvdtGf1c
how-to-display-dynamic-event-schedules-using-optisync--how-to-set-up-a-daily-event-schedule-that-updates-.md	file-3dZDA3m2yToRq6eTHL2mVG
how-to-display-dynamic-event-schedules-using-optisync--monthly.md	file-U4kkJCE229zk8YxLA3bikS
how-to-display-dynamic-event-schedules-using-optisync--option-1-via-google-sheetexcel.md	file-LLKdADCm3UgQzK3rEPQ96E
how-to-display-dynamic-event-schedules-using-optisync--option-2-via-api.md	file-LS4ob8A9NQuhsgHGiq4s6H
how-to-display-dynamic-event-schedules-using-optisync--setting-up-a-daily-event-schedule-with-optisync.md	file-MRit9BmHufsqLMxpmjJH3h
how-to-display-dynamic-event-schedules-using-optisync--setting-up-a-monthly-event-schedule-with-optisync.md	file-RRTeM5kPGNzAuH46BbqxwE
how-to-display-dynamic-event-schedules-using-optisync--setting-up-a-split-screen-event-schedule.md	file-KNHGsyiLXbUmQ2zRiLepiR
how-to-display-dynamic-event-schedules-using-optisync--setting-up-a-weekly-event-schedule-with-optisync.md	file-QD3fR27LkDkfaevmZzg6FC
how-to-display-dynamic-event-schedules-using-optisync--split-screen.md	file-XF3WwsUhZyyKp9nd2x7Zij
how-to-display-dynamic-event-schedules-using-optisync--weekly.md	file-U35mmZgoy7J8fszn5Yhqgy
how-to-display-dynamic-event-schedules-using-optisync--with-optisync-you-can-dynamically-map-data-from-so.md	file-ResfFfWzp3QpoDcJuSSREV
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--add-the-certificates-snap-in.md	file-8d5B8Kefr3cxxagYp8FQwU
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--command-line-installation.md	file-XWG4nfwTDzFmuwt2SB6tjW
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--how-to-install-a-root-certificate-and-display-an-i.md	file-2owJiE2nVq8d6x5HFGH9xv
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--import-the-certificate.md	file-MZz58PUMqwr9YaVCXZr68b
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--in-this-article-we-will-explain-how-to-install-a-r.md	file-FU6uJeryZZ9BW8Kjrz5tp8
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--install-certificate.md	file-PQjnbKFbBqYPTFqqvv3Wh8
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--installing-a-root-certificate-on-a-macos-device.md	file-Q8oJtzTwETeUxxfw9acFqB
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--installing-a-root-certificate-on-a-windows-device.md	file-BgMHg3ZUhyfeuUvcVkj44R
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--installing-a-root-certificate-on-an-optisigns-gen3.md	file-F8o1HAgVCHkM2cM6hS2ihM
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--installing-a-root-certificate-on-chrome-based-web-.md	file-ART3wxkQovn6YbUfqmrTyR
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--installing-a-root-certificate-on-optisigns-gen-2-p.md	file-V4pJ2gGiCwuBBzdF3tg5Gc
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--open-the-microsoft-management-console-mmc.md	file-3M6KTBXF5bbzu57Mjfa5J1
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--setting-an-internal-website-up-for-use-on-optisign.md	file-3dC9r3fCG9G7TKxwR9ywgA
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--using-web-scripting-to-bypass-logins.md	file-8nLeaL2wMApBstZwi9rwd1
how-to-install-a-root-certificate-and-display-an-internal-website-on-screens--verify-the-installation.md	file-GHkHGHZ1qwu4C2jTYQJKVB
how-to-order-a-preconfigured-optisigns-android-player-device--how-to-order-a-preconfigured-optisigns-android-pla.md	file-D8XZnyMfsPaBcjhc9D7Kns
how-to-order-a-preconfigured-optisigns-android-player-device--how-to-order-devices.md	file-Tx6s9ZKhCrsD9MH9bo3MVJ
how-to-order-a-preconfigured-optisigns-android-player-device--other-buying-options.md	file-RG6PmMoNnx4jeU45YsXZk6
how-to-order-a-preconfigured-optisigns-android-player-device--shipping-times.md	file-MfSPLyRyRdZAVeZShmYtZZ
how-to-order-a-preconfigured-optisigns-android-player-device--thats-it-now-you-can-bring-your-screens-to-life-wi.md	file-1fU2EnA7nYRz1L3GyExvnr
how-to-play-licensed-background-music-on-digital-signs-with-optisound--how-to-play-licensed-background-music-on-digital-s.md	file-Ayvci8Z1bW2fF5BCMdSFYw
how-to-play-licensed-background-music-on-digital-signs-with-optisound--how-to-set-up-and-play-optisound-background-music.md	file-Nm1SL4eYbUnNqzPr1LHUKJ
how-to-play-licensed-background-music-on-digital-signs-with-optisound--in-this-article-well-guide-you-through-setting-up-.md	file-LYZX4ttEwtH1uTQiuwvqSA
how-to-play-licensed-background-music-on-digital-signs-with-optisound--step-1-start-your-14-day-free-trial.md	file-AzWiCEYwJtKiFv66nZP51T
how-to-play-licensed-background-music-on-digital-signs-with-optisound--step-2-browse-and-assign-music-stations.md	file-FHL2KDjKr8zR7kFgHaxanr
how-to-play-licensed-background-music-on-digital-signs-with-optisound--step-3-connect-your-device-to-your-audio-system.md	file-65v9TJNDenEHMnHazvsneg
how-to-play-licensed-background-music-on-digital-signs-with-optisound--what-is-optisound.md	file-GUj328YdmMBKDrhSdTerCW
how-to-play-licensed-background-music-on-digital-signs-with-optisound--what-youll-need.md	file-VMNoWEEMy4Wb2oEXVhTr8b
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--add-the-service-principal-to-a-workspace.md	file-M8P3AU28MUsZ1gk5ZyrQ4V
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--authenticating-optisigns-via-service-principal.md	file-8aMmhoXLJeYKFoy4vcGF7h
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--create-an-entra-app-in-microsoft-azure.md	file-46Ea8Pw9GJMvDPBQfhSyfd
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--enable-powerbi-service-admin-settings.md	file-WRyc71oDbBHzZKX6KURmQr
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--getting-powerbi-onto-a-screen.md	file-LiM4hu5c1deMD1iUcPjm8Q
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--how-to-set-up-a-powerbi-service-principal-for-use-.md	file-QMcNAhK2bvmibReMHoM6mH
how-to-set-up-a-powerbi-service-principal-for-use-in-optisigns--in-this-article-we-will-walk-you-through-the-proce.md	file-JaGWkfJQmmp49E8hYspRHw
how-to-use-optisigns-with-microsoft-teams-rooms--configure-the-source-within-teams-rooms-pro-manage.md	file-6AbdUhUoXoukmDr1wxEupm
how-to-use-optisigns-with-microsoft-teams-rooms--how-to-use-optisigns-with-microsoft-teams-rooms.md	file-XPBVe7jumfrsuRiDrk5Bz5
how-to-use-optisigns-with-microsoft-teams-rooms--in-this-article-we-will-explain-how-to-set-up-opti.md	file-V2XrNtYsZyQ6tbWsSQ7jRr
how-to-use-optisigns-with-microsoft-teams-rooms--prerequisites.md	file-SwXdzLbqKstAYDYhbFDL1U
how-to-use-optisigns-with-microsoft-teams-rooms--send-to-a-teams-rooms-device.md	file-RL8NUz678aPohY3xWPf7Eg
how-to-use-optisigns-with-microsoft-teams-rooms--set-up-the-virtual-screen-app-alternate-method.md	file-BnpuHd7grEDJhS4nyfZpgq
how-to-use-the-mobile-app-for-remote-control--.md	file-7DrqoZAtuGdTCrFhCsiq98
how-to-use-the-mobile-app-for-remote-control--21-connect-as-bluetooth-remote-in-the-edit-screen-.md	file-Ko5wbiaeEAyRAC3WzQ4HNK
how-to-use-the-mobile-app-for-remote-control--22-connect-in-the-remote-control-section-optional.md	file-GgstoyQ3J7vf1b4vZEJawG
how-to-use-the-mobile-app-for-remote-control--how-to-use-the-mobile-app-for-remote-control.md	file-RAH598MRoWS37PNHHM7iss
how-to-use-the-mobile-app-for-remote-control--step-1-download-and-log-in-to-the-app.md	file-KvtwkdkjYLvC1DNKutCbq6
how-to-use-the-mobile-app-for-remote-control--step-2-connect-to-your-optisigns-android-stick.md	file-Ss2GqhMwgLUe34raq7Tb76
how-to-use-the-mobile-app-for-remote-control--step-3-access-the-remote-control.md	file-3qJEKymviTK3aSB1vDEkMs
how-to-use-the-mobile-app-for-remote-control--thats-it.md	file-Rg3T1BYzNk9eJGwF6AvJhB
how-to-use-the-mobile-app-for-remote-control--trouble-shooting.md	file-Vr2j8tJ7QPX9iNPSFSJDhy
how-to-use-the-tableau-app--additional-notes.md	file-NJGNLfmetF4Z4YHvdsHyUh
how-to-use-the-tableau-app--how-to-use-the-tableau-app.md	file-16SLxxQHC4mVCTMqWN2maQ
how-to-use-the-tableau-app--in-this-article-well-show-you-how-to-set-up-and-us.md	file-1rUaEeqjKJKm74U3LFf7B9
how-to-use-the-tableau-app--note-1.md	file-RYymHXuYQb75kBvKT1zTy3
how-to-use-the-tableau-app--note-2.md	file-5oMHo4H56212q7WTkMqa1q
how-to-use-the-tableau-app--note-3.md	file-D98NFH7KMUxRSbktYNqWwF
how-to-use-the-tableau-app--step-1-set-up-optisigns-as-a-connected-app-in-tabl.md	file-B218fhd9EFwp4A5tF4TbPC
how-to-use-the-tableau-app--step-2-set-up-tableau-integration-in-optisigns.md	file-9ptruYLYvqU3zhXmrHPi6b
how-to-use-the-tableau-app--step-3-create-a-tableau-asset-and-assign-it-to-a-s.md	file-6gS8G88Utpm9wLQf67Y334
how-to-use-the-tableau-app--what-youll-need.md	file-4Vnm3v9wqgYfiXPEbioU3b
how-to-use-toast-api-data-with-optisigns--how-to-use-toast-api-data-with-optisigns.md	file-S6sJ9mrqtiB8K9nd8ntSod
how-to-use-toast-api-data-with-optisigns--step-1-preparation.md	file-4VmqLmM7aG5bZmHqaw3rwS
how-to-use-toast-api-data-with-optisigns--step-2-authentication-for-toast-api.md	file-33TsQwRfc1oqVyHwMsN9z9
how-to-use-toast-api-data-with-optisigns--step-3-call-the-api-to-get-the-required-data-from-.md	file-8M3fGcUrrVjGjcEN9sr7LT
how-to-use-toast-api-data-with-optisigns--step-4-build-digital-menu-board-in-designer-with-o.md	file-NHnU7faYVcfdcZE5dLs2AR
how-to-use-toast-api-data-with-optisigns--toast-is-one-of-the-most-common-point-of-sale-syst.md	file-YWeQi5teKc37tvBTboxPak
how-to-use-youtube-with-optisigns--how-to-use-youtube-with-optisigns.md	file-R1oBan3ynyLyhCvQ3797RU
how-to-use-youtube-with-optisigns--lets-jump-in-and-get-started.md	file-7GtHpz8RVdeifZb4P1wD86
how-to-using-sepa-and-ideal-for-eur-currency-subscription-payments--a-few-things-to-keep-in-mind.md	file-YNs3gBTEiUbzD6Jh7GjJFk
how-to-using-sepa-and-ideal-for-eur-currency-subscription-payments--about-the-payment-methods.md	file-848nhCnj394TiEznWkzNmX
how-to-using-sepa-and-ideal-for-eur-currency-subscription-payments--how-to-using-sepa-and-ideal-for-eur-currency-subsc.md	file-J6JnTdTX4C3JmwNXfY6wMJ
how-to-using-sepa-and-ideal-for-eur-currency-subscription-payments--steps-to-createupgrade-a-subscription-and-use-sepa.md	file-NZhfUN18CN9H9zS1BqNgSa
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--.md	file-57jfUYh8f4A8rb1yo4ZZDu
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--adding-text-elements-to-a-digital-menu-board.md	file-KboNjK4UWvfsTEHmqix9Hx
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--additional-information-on-api-authentication.md	file-8FdGpjgoBp8YTq7iCXdKxp
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--api-integration-is-only-available-with-a-pro-plus-.md	file-HNK85sMmdXsTv6AK6SuYdQ
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--creating-strike-throughs-and-sold-out-warnings.md	file-FNPRRbscYhbTi8uNxTf3kh
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--element-mapping.md	file-CGAYpxGguGefFPXb2S4AW2
integrating-point-of-sale-pos-systems-to-build-digital-menu-boards-with-optisync--get-api-endpoint-url-and-set-up-api-request-dataso.md	file-3QUfYH6RJ1QKdqprERxaqQ
